synthesising_antibody_disease,2.0
objective_experimental_development,2.0
wikipedia_states,1.0
models_based_laws_revealed,1.0
manual_lists,2.0
antibody_molecule_basic_investigations,2.0
body_knowledge_author,1.0
manual_components_frascati,1.0
policy_applied_development_operational,2.0
theoretical_investigation_factors_determining,1.0
economic_growth_basic,1.0
basis_order_increase_stock_knowledge,1.0
contractor_frascati_manual,1.0
solely_purposes_project,2.0
determining_regional_variations,2.0
knowledge_man_sic_culture_society_stock_knowledge,1.0
devices,2.0
experimental_development_systematic,1.0
feasibility_studies_routine_software,2.0
directed_producing,1.0
analysis,2.0
devise,1.0
methods_decisions,1.0
including_knowledge_man,2.0
development_operational_models_based,1.0
returns_income_figures,1.0
operational_models_based,1.0
determination_amino_acid_sequence,2.0
returns,2.0
applied_experimental_development,4.0
testing_effectiveness_synthesised_antibody,2.0
activities_excluded,1.0
drawing_existing_knowledge,2.0
variations_economic_growth,2.0
purpose_data_collection_stages,1.0
manual,1.0
lists_situations_activities_excluded,1.0
feasibility_studies_routine,2.0
antibody_disease_basis_knowledge,1.0
materials_processes,1.0
activities_excluded_carried_solely,1.0
culture_society,2.0
variations,2.0
development_materials_processes,1.0
processes_feasibility_studies,2.0
survey_published_higher,2.0
higher_education_statistics,2.0
treatment_theoretical_investigation,2.0
agreed,1.0
policy,2.0
covers_formal_units_informal,1.0
term_covers,2.0
order_knowledge,1.0
methodologies_prescriptions_literature,1.0
advanced_treatment_theoretical,1.0
andor,2.0
manual_lists_situations_activities,2.0
trials,2.0
undertaken_basic_knowledge,1.0
carried_solely,1.0
phenomena_observable,1.0
carried_solely_purposes,2.0
antibodies_diseases_applied_experimental,1.0
returned,1.0
foundation_phenomena_observable_facts,2.0
produced_installed_covers,2.0
statistics_agency_defined_conventions,2.0
materials_components_products_processes,2.0
acid,2.0
devices_installing_processes,2.0
practical_aim,2.0
andor_practical_experience,2.0
project_include,2.0
explanation_techniques,1.0
acid_sequence,2.0
internationally,1.0
processes_systems_improving,1.0
experimental_development_basic_experimental,1.0
phenomena_types,1.0
materials,1.0
experimental_development_covers,1.0
systems_improving_produced,1.0
software_development_general_purpose,2.0
routine_software_development,2.0
income,2.0
higher_education_statistics_agency,2.0
performed_purpose,2.0
applied,4.0
regional,2.0
materials_products_devices_installing,1.0
antibody_patients_agreed,2.0
stock_knowledge_including,1.0
carried_solely_purposes_project,2.0
frascati_manual_internationally,1.0
society,2.0
andor_practical_experience_directed,1.0
producing,1.0
modifying_regional_disparities,2.0
knowledge_man_culture_society,2.0
method_synthesising,1.0
routine_software_development_general,2.0
order_gain,1.0
applied_experimental_development_devising,1.0
effectiveness,2.0
standard_tool,1.0
improving_produced_installed,1.0
diseases_applied,1.0
products_processes_feasibility,2.0
informal_occasional,1.0
systems_improving,1.0
directed_specific,1.0
clinical_drug_trials_akin,1.0
order_increase,2.0
purposes_frascati,1.0
examples_included_components,2.0
education,2.0
applied_original_investigation_undertaken,2.0
growth_basic_investigation,2.0
applied_development,2.0
structure_clinically_testing_effectiveness,2.0
gained,1.0
experimental_undertaken,1.0
order_increase_stock_knowledge,2.0
order,1.0
knowledge_underlying_foundation,2.0
testing,1.0
underlying,1.0
effort_distinguish_antibodies_diseases,2.0
increase_stock_knowledge,2.0
experimental_advanced,1.0
returned_activity,2.0
devise_term_covers_activities,2.0
statutory_returns_income_figures,2.0
amino_acid_sequence_antibody,2.0
aim,2.0
knowledge_prediction_behaviour_aspect_phenomenon,1.0
society_stock,2.0
knowledge_underlying,1.0
included_components_determination,2.0
basis_order,2.0
effort_distinguish,1.0
systems_practitioner,1.0
defines_experimental_development_comprise,2.0
antibodies_diseases_applied,1.0
facts_applied_original_investigation,2.0
contractor_frascati_manual_examples,2.0
structure_clinically,1.0
knowledge_gained,1.0
software_development_general,1.0
basic_investigation,2.0
formal_units_informal_occasional,1.0
processes_feasibility,2.0
applied_experimental_development_basic,1.0
development_devising_method,2.0
materials_products_devices,1.0
producing_materials_products,2.0
order_acquire_knowledge_directed,1.0
project_include_routine,2.0
agreed_accept,1.0
drug_contractor_frascati_manual,1.0
testing_cases_original_drug,2.0
potential_practice_operations_institute_operations_management_sciences_informs_scribes_discipline,1.0
acid_sequence_antibody_molecule,2.0
stock,4.0
figures_returned_activity_survey,2.0
occasional_units_frascati,2.0
produced_installed,1.0
including,1.0
processes_feasibility_studies_routine,2.0
devising,1.0
sequence_antibody_molecule_basic,1.0
articles_articles_articles_management_articles,1.0
basis,1.0
claims_process,1.0
disparities_experimental_development,2.0
clinical,1.0
manual_internationally,1.0
development_undertaken_basis,1.0
amino,2.0
economic_growth_basic_investigation,2.0
frascati_manual_frascati_manual,1.0
routine_testing_analysis_materials,2.0
collection_stages_clinical,1.0
cases_original_drug,2.0
basic,4.0
investigation_undertaken,1.0
covers_activities,2.0
devising_method_synthesising,1.0
models_based_laws,2.0
researchers_increase,1.0
units,4.0
experimental_covers_development,1.0
subject_sense,1.0
