play;0.10277917
exception;0.11990903
separate;0.16602788
convert;0.10791812
reference;0.26923377000000004
contribution;0.07708437
modularity;0.08301394
action;0.13489766
plan;0.13489766
knowledge;0.15416875
identifier;0.09562365
poker;0.10277917
degree;0.16602788
extraction;0.15416875
market;0.07194542
system;0.16602788
field;0.11666824
kyme;0.17986354
unique;0.09562365
science;0.14686544
impression;0.21583625
position;0.07194542
present;0.21583625
object;0.06830261
datum;0.16936065
game;0.07708437
locate;0.07194542
rule;0.06475087
dalton;0.17986354
general;0.26679471
computer;0.11525051
pot;0.07708437
public;0.21583625
integral;0.13489766
term;0.15416875
place;0.16787264
recombine;0.16602788
player;0.15416875
highly;0.13489766
cc;0.17986354
continuum;0.08301394
war;0.13489766
specific;0.35569502000000003
component;0.16602788
form;0.06475087
instruction;0.06475087
organization;0.21583625
regard;0.11990903
publish;0.17986354
describe;0.08301394
paul;0.17986354
family;0.17986354
strategy;0.26979531
pertain;0.13489766
